city;region;venues
ASH FORK;AZ;1
BENSON;AZ;1
BISBEE;AZ;2
DAWSON;AZ;0
DOUGLASS;AZ;1
GLOBE;AZ;2
JEROME;AZ;1
KINGMAN;AZ;1
MESA;AZ;1
NOGALES;AZ;1
PHOENIX;AZ;2
PRESCOTT;AZ;1
TEMPE;AZ;1
TOMBSTONE;AZ;1
TUCSON;AZ;1
WILCOX;AZ;1
WILLIAMS;AZ;1
WINSLOW;AZ;1
CRANBROOK;BC;1
GRAND FORKS;BC;1
GREENWOOD;BC;1
LADYSMITH;BC;1
MOYIE;BC;1
NANAIMO;BC;1
NELSON;BC;1
NEW WESTMINSTER;BC;1
ROSSLAND;BC;1
VANCOUVER;BC;4
VICTORIA;BC;3
ALAMEDA;CA;1
ALBION;CA;1
AMADOR CITY;CA;1
ANAHEIM;CA;1
ANDERSON;CA;1
ANGELS CAMP;CA;1
ANTIOCH;CA;1
ARCATA;CA;1
AUBURN;CA;1
BAKERSFIELD;CA;4
BENICIA;CA;1
BERKELEY;CA;1
BIEBER;CA;1
BLACK DIAMOND;CA;1
CASNINA;CA;1
CASPAR;CA;1
CHICO;CA;2
CHINESE CAMP;CA;1
COALINGA;CA;1
COLTON;CA;1
COLUSA;CA;1
COPPEROPOLIS;CA;1
CORNING;CA;1
CORONA;CA;1
CORONADO;CA;1
COVINA;CA;1
CRESCENT CITY;CA;1
CROCKETT;CA;1
DINUBA;CA;1
DIXON;CA;1
EL CENTRO;CA;1
EUREKA;CA;3
FOLSOM;CA;1
FORTUNA;CA;1
FRESNO;CA;3
FT. BRAGG;CA;1
FULLERTON;CA;1
GALT;CA;1
GILROY;CA;1
GRASS VALLEY;CA;1
GREENWOOD;CA;1
GRIDLEY;CA;1
HANFORD;CA;1
HAYWARDS;CA;1
HEALDSBURG;CA;2
HOLLISTER;CA;1
JACKSON;CA;1
JAMESTOWN;CA;1
LEMOORE;CA;1
LINCOLN;CA;1
LIVERMORE;CA;1
LODI;CA;1
LONG BEACH;CA;2
LOS ANGELES;CA;14
LOS GATOS;CA;1
MADERA;CA;1
MARTINEZ;CA;1
MARYSVILLE;CA;1
MENDOCINO CITY;CA;1
MERCED;CA;2
MILTON;CA;1
MODESTO;CA;1
MONTAGUE;CA;1
MONTEREY;CA;3
NAPA;CA;2
NEEDLES;CA;1
NEVADA CITY;CA;1
OAKDALE;CA;1
OAKLAND;CA;12
PORTERVILLE;CA;1
RED BLUFF;CA;1
REDDING;CA;1
REDLANDS;CA;1
REDWOOD CITY;CA;1
REEDLEY;CA;1
RIVERSIDE;CA;1
SACRAMENTO;CA;4
SALINAS;CA;1
SAN BERNARDINO;CA;4
OCEAN PARK;CA;2
ONTARIO;CA;1
OROVILLE;CA;1
OXNARD;CA;1
PALO ALTO;CA;2
PASADENA;CA;1
PETALUMA;CA;2
PLACERVILLE;CA;1
POINT ARENA;CA;1
POINT RICHMOND;CA;1
POMONA;CA;2
SAN DIEGO;CA;5
SAN FRANCISCO;CA;18
SANGER;CA;1
SAN JOSE;CA;5
SAN LEANDRO;CA;1
SAN LUIS OBISPO;CA;1
SAN RAFAEL;CA;1
SANTA ANA;CA;1
SANTA BARBARA;CA;2
SANTA CLARA;CA;1
SANTA CRUZ;CA;3
SANTA MARIA;CA;1
SANTA ROSA;CA;1
SAUSALITO;CA;1
SCOTIA;CA;1
SEBASTOPOL;CA;1
SELMA;CA;1
SONORA;CA;1
ST. HELENA;CA;1
STOCKTON;CA;4
SUISUN;CA;1
SUSANVILLE;CA;1
TEHACHAPI;CA;1
TRACY;CA;1
TRUCKEE;CA;1
TULARE;CA;2
TUOLUMNE;CA;1
UKIAH;CA;1
UPLAND;CA;1
VACAVILLE;CA;1
VALLEJO;CA;2
VALLEY SPRINGS;CA;1
VENTURA;CA;1
VISALIA;CA;1
WATSONVILLE;CA;1
WHEATLAND;CA;1
WILLITS;CA;1
WINTERS;CA;1
WOODLAND;CA;1
YREKA;CA;1
ASPEN;CO;1
BOULDER;CO;2
CANON CITY;CO;1
CENTRAL CITY;CO;1
COLORADO SPRINGS;CO;1
CRIPPLE CREEK;CO;1
DENVER;CO;6
DURANGO;CO;1
EATON;CO;1
ERIE;CO;1
FLORENCE;CO;1
FORT COLLINS;CO;1
GEORGETOWN;CO;1
GLEN WOOD SPRINGS;CO;1
GRAND JUNCTION;CO;1
GREELEY;CO;1
LAFAYETTE;CO;1
COLORADO;CO;1
LA JUNTA;CO;1
LAMAR;CO;1
LEAD VILLE;CO;1
LONGMOUNT;CO;1
LOUISVILLE;CO;1
LOVELAND;CO;1
MONTE VISTA;CO;1
OURAY;CO;1
PUEBLO;CO;1
ROCKY FORD;CO;1
SALIDA;CO;1
STERLING;CO;1
TELLURIDE;CO;1
